2025-11-19 17:05:00.770 | INFO     | xauth.auth:authenticate:48 | 认证请求 - Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90e...
2025-11-19 17:05:01.304 | INFO     | xadmin.logru_config:emit:23 | "GET - get_dict_option /system/common/dict/option" 0.5359461307525635
2025-11-19 17:05:01.305 | INFO     | xauth.auth:authenticate:51 | 认证成功 - 用户: admin
2025-11-19 17:05:01.473 | INFO     | xadmin.logru_config:emit:23 | "GET - get_user_info /system/auth/user/info" 0.703519344329834
2025-11-19 17:05:01.484 | INFO     | xauth.auth:authenticate:48 | 认证请求 - Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90e...
2025-11-19 17:05:01.741 | INFO     | xauth.auth:authenticate:51 | 认证成功 - 用户: admin
2025-11-19 17:05:01.767 | INFO     | xadmin.logru_config:emit:23 | "GET - get_user_route /system/auth/route" 0.28307580947875977
2025-11-19 17:05:06.696 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.13732290267944336
2025-11-19 17:05:06.697 | INFO     | xadmin.logru_config:emit:23 | "GET - list_test_types /tp/api/test-type/list" 0.13445329666137695
2025-11-19 17:05:06.702 | INFO     | xadmin.logru_config:emit:23 | "GET - get_product_names /tp/api/sut-device/product-names" 0.14603209495544434
2025-11-19 17:05:10.102 | INFO     | xadmin.logru_config:emit:23 | "GET - get_asic_names /tp/api/sut-device/asic-names" 0.8012185096740723
2025-11-19 17:05:10.109 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.8057923316955566
2025-11-19 17:05:13.294 | INFO     | xadmin.logru_config:emit:23 | "GET - get_asic_names /tp/api/sut-device/asic-names" 0.7094202041625977
2025-11-19 17:05:13.296 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.7082233428955078
2025-11-19 17:05:15.432 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.16440987586975098
2025-11-19 17:05:15.434 | INFO     | xadmin.logru_config:emit:23 | "GET - get_asic_names /tp/api/sut-device/asic-names" 0.16866421699523926
2025-11-19 17:05:17.533 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.5167346000671387
2025-11-19 17:05:18.444 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.1321091651916504
2025-11-19 17:05:18.593 | INFO     | xadmin.logru_config:emit:23 | "GET - get_test_type_options /tp/api/test-type/options" 0.13657307624816895
2025-11-19 17:05:28.758 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.1666550636291504
2025-11-19 17:05:28.759 | INFO     | xadmin.logru_config:emit:23 | "GET - get_asic_names /tp/api/sut-device/asic-names" 0.16498041152954102
2025-11-19 17:05:30.181 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.23212337493896484
2025-11-19 17:05:31.255 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.25499916076660156
2025-11-19 17:05:31.439 | INFO     | xadmin.logru_config:emit:23 | "GET - get_test_type_options /tp/api/test-type/options" 0.17186188697814941
2025-11-19 17:06:09.704 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 1.2823436260223389
2025-11-19 17:06:09.707 | INFO     | xadmin.logru_config:emit:23 | "GET - get_asic_names /tp/api/sut-device/asic-names" 1.2852256298065186
2025-11-19 17:06:10.498 | INFO     | xauth.auth:authenticate:48 | 认证请求 - Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90e...
2025-11-19 17:06:10.656 | INFO     | xadmin.logru_config:emit:23 | "GET - get_dict_option /system/common/dict/option" 0.16501688957214355
2025-11-19 17:06:10.657 | INFO     | xauth.auth:authenticate:51 | 认证成功 - 用户: admin
2025-11-19 17:06:10.800 | INFO     | xadmin.logru_config:emit:23 | "GET - get_user_info /system/auth/user/info" 0.3023536205291748
2025-11-19 17:06:10.809 | INFO     | xauth.auth:authenticate:48 | 认证请求 - Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90e...
2025-11-19 17:06:11.023 | INFO     | xauth.auth:authenticate:51 | 认证成功 - 用户: admin
2025-11-19 17:06:11.069 | INFO     | xadmin.logru_config:emit:23 | "GET - get_user_route /system/auth/route" 0.26006078720092773
2025-11-19 17:06:12.527 | INFO     | xadmin.logru_config:emit:23 | "GET - get_product_names /tp/api/sut-device/product-names" 0.15386962890625
2025-11-19 17:06:12.529 | INFO     | xadmin.logru_config:emit:23 | "GET - list_test_types /tp/api/test-type/list" 0.14962124824523926
2025-11-19 17:06:12.530 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.151808500289917
2025-11-19 17:06:15.279 | INFO     | xadmin.logru_config:emit:23 | "GET - get_asic_names /tp/api/sut-device/asic-names" 0.17919325828552246
2025-11-19 17:06:15.288 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.18569684028625488
2025-11-19 17:06:16.598 | INFO     | xadmin.logru_config:emit:23 | "GET - get_machines_by_selection /tp/api/sut-device/machines" 0.1972060203552246
2025-11-19 17:06:18.702 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.5519993305206299
2025-11-19 17:06:19.423 | INFO     | xadmin.logru_config:emit:23 | "GET - get_test_type_options /tp/api/test-type/options" 0.7087056636810303
2025-11-19 17:06:22.392 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.4300203323364258
2025-11-19 17:06:22.818 | INFO     | xadmin.logru_config:emit:23 | "GET - get_test_type_options /tp/api/test-type/options" 0.4145205020904541
2025-11-19 17:06:23.416 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.16886186599731445
2025-11-19 17:06:23.606 | INFO     | xadmin.logru_config:emit:23 | "GET - get_test_type_options /tp/api/test-type/options" 0.17626357078552246
2025-11-19 17:06:26.204 | INFO     | xadmin.logru_config:emit:23 | "GET - get_os_options /tp/api/os-config/options" 0.1473228931427002
